imagen,detecciones,gt,tp,fp,fn,precision,recall,f1,score_promedio
00003.png,1,1,1,0,0,1.0,1.0,1.0,0.92
00005.png,3,3,3,0,0,1.0,1.0,1.0,0.97
00006.png,1,1,1,0,0,1.0,1.0,1.0,0.95
00007.png,1,1,1,0,0,1.0,1.0,1.0,0.83
00008.png,3,3,3,0,0,1.0,1.0,1.0,0.96
00009.png,1,1,1,0,0,1.0,1.0,1.0,0.98
00010.png,3,3,3,0,0,1.0,1.0,1.0,0.9567
00011.png,3,3,3,0,0,1.0,1.0,1.0,0.79
00012.png,2,2,2,0,0,1.0,1.0,1.0,0.865
00013.png,1,1,1,0,0,1.0,1.0,1.0,0.91
00015.png,1,1,1,0,0,1.0,1.0,1.0,0.97
00016.png,3,3,3,0,0,1.0,1.0,1.0,0.85
00017.png,1,1,1,0,0,1.0,1.0,1.0,0.86
00018.png,3,3,3,0,0,1.0,1.0,1.0,0.83
00019.png,2,2,2,0,0,1.0,1.0,1.0,0.475
00020.png,2,2,2,0,0,1.0,1.0,1.0,0.475
00021.png,3,3,3,0,0,1.0,1.0,1.0,0.84
00022.png,3,3,3,0,0,1.0,1.0,1.0,0.7633
00023.png,1,1,1,0,0,1.0,1.0,1.0,0.65
00024.png,1,1,1,0,0,1.0,1.0,1.0,0.94
00027.png,1,1,1,0,0,1.0,1.0,1.0,0.86
00033.png,1,1,1,0,0,1.0,1.0,1.0,0.93
00034.png,3,3,3,0,0,1.0,1.0,1.0,0.71
00035.png,3,3,3,0,0,1.0,1.0,1.0,0.7767
00036.png,1,1,1,0,0,1.0,1.0,1.0,0.9
00037.png,1,1,1,0,0,1.0,1.0,1.0,0.94
00038.png,3,3,3,0,0,1.0,1.0,1.0,0.71
00039.png,2,2,2,0,0,1.0,1.0,1.0,0.78
00040.png,2,2,2,0,0,1.0,1.0,1.0,0.855
00041.png,1,1,1,0,0,1.0,1.0,1.0,0.93
00045.png,1,1,1,0,0,1.0,1.0,1.0,0.83
00046.png,3,3,3,0,0,1.0,1.0,1.0,0.92
00047.png,1,1,1,0,0,1.0,1.0,1.0,0.77
00048.png,3,3,3,0,0,1.0,1.0,1.0,0.9133
00049.png,1,1,1,0,0,1.0,1.0,1.0,0.77
00050.png,3,3,3,0,0,1.0,1.0,1.0,0.8567
00051.png,1,1,1,0,0,1.0,1.0,1.0,0.94
00052.png,3,3,3,0,0,1.0,1.0,1.0,0.85
00054.png,3,3,3,0,0,1.0,1.0,1.0,0.9433
00055.png,2,2,2,0,0,1.0,1.0,1.0,0.91
00056.png,3,3,3,0,0,1.0,1.0,1.0,0.9767
00057.png,3,3,3,0,0,1.0,1.0,1.0,0.92
00058.png,1,1,1,0,0,1.0,1.0,1.0,0.96
00059.png,3,3,3,0,0,1.0,1.0,1.0,0.9267
00060.png,3,3,3,0,0,1.0,1.0,1.0,0.8767
00061.png,1,1,1,0,0,1.0,1.0,1.0,0.97
00062.png,3,3,3,0,0,1.0,1.0,1.0,0.9733
